descriptor_id,reference_key,implementation_version,exact_expression,scientific_definition,base_terms,coefficients,coefficient_interpretation,normalization,mixture_or_contrast_rule,invalid_or_missing_behavior,unit_or_range
aem__alkaline_vulnerability,aem__alkaline_vulnerability,aem-reference-v1.0.0,"weighted_scalar_merge(alkaline_vulnerability_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed weighted summary of the repeat-unit SN2-risk, Hofmann-elimination-risk, carbonyl-density, and guanidinium-like terms.",alkaline_vulnerability_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__aromaticity,aem__aromaticity,aem-reference-v1.0.0,"weighted_scalar_merge(aromatic_fraction; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Fraction of repeat-unit atoms assigned as aromatic by RDKit.,aromatic_fraction,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__aryl_ether_motif_density,aem__aryl_ether_motif_density,aem-reference-v1.0.0,"weighted_scalar_merge(aryl_ether_count / heavy_atoms; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Number of aryl-ether motifs divided by repeat-unit heavy-atom count.,"aryl_ether_count, heavy_atoms",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__backbone_rigidity,aem__backbone_rigidity,aem-reference-v1.0.0,"weighted_scalar_merge(rigidity_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Sum of aromatic-ring, total-ring, ketone, and sulfone counts plus one, divided by the repeat-unit rotatable-bond count plus one.",rigidity_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__benzylic_link_density,aem__benzylic_link_density,aem-reference-v1.0.0,"weighted_scalar_merge(benzylic_proxy / n_site_safe; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Benzylic-link motif count divided by the effective ionogenic-site count.,"benzylic_proxy, n_site_safe",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__beta_h_accessibility,aem__beta_h_accessibility,aem-reference-v1.0.0,"weighted_scalar_merge(float(np.mean(beta_h_scores)); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fraction of detected cation or ionogenic sites having a non-aromatic, hydrogen-bearing carbon within two graph bonds.","beta_h_scores, float, np",none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_accessibility,aem__cation_accessibility,aem-reference-v1.0.0,"weighted_scalar_merge(cation_accessibility_proxy; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Fixed heuristic combination of pendant-site fraction, cation-to-anchor distance, local flexibility, oxygen-rich spacer environment, and neutral-site fraction, penalized by steric, cyclic-cation, and backbone-bound terms.",cation_accessibility_proxy,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_count,aem__cation_count,aem-reference-v1.0.0,"weighted_scalar_merge(n_cation; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Number of detected fixed-cation centers in the repeat unit.,n_cation,none,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_family_count,aem__cation_family_count,aem-reference-v1.0.0,"weighted_scalar_merge(exact categorical topology rule implemented by _cation_family_flags; returned key aem__cation_family_count; normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value",Number of cation-family topology indicators present in the repeat unit.,topology-classification rule,0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
aem__cation_hetero_neighborhood,aem__cation_hetero_neighborhood,aem-reference-v1.0.0,"weighted_scalar_merge(spacer_oeg / max(heavy_atoms, 1.0); normalized composition weights r1, r2); if one repeat-unit value is missing, use the finite value","Mean count of oxygen atoms within three graph bonds of detected ionogenic sites, divided by repeat-unit heavy-atom count.","heavy_atoms, max, spacer_oeg",1.0,Implementation constants are reported for reproducibility and are not physically calibrated unless explicitly stated.,composition weights are normalized to r1 + r2 = 1; local count and density normalizations are explicit in the expression and reference implementation,normalized composition-weighted scalar merge,invalid repeat-unit input returns missing local values; weighted merge uses the finite repeat-unit value when only one is available; a two-unit contrast is NaN when either required value is missing,dimensionless graph-derived value; distance terms are topological bond counts; binary indicators are 0 or 1
